time,time,lat,lon,alt,pol,mds,mcg,distance
2019-08-03 13:28:18.303769340,2019-08-03 13:28:18.303769340,49.118367,14.616654999999998,0,0,4386,114,8.679938819094927
2019-08-03 13:28:49.224639060,2019-08-03 13:28:49.224639060,49.206969,14.717347,0,0,9245,50,5.783391798835661
2019-08-03 13:29:54.603190725,2019-08-03 13:29:54.603190725,49.170883,14.573181,0,0,8469,69,5.533311935117081
2019-08-03 13:29:54.916638917,2019-08-03 13:29:54.916638917,49.177456,14.571848999999998,0,0,7982,67,5.308516222503058
2019-08-03 13:31:45.090543726,2019-08-03 13:31:45.090543726,49.180890999999995,14.720768,0,0,6675,136,6.083353615438977
2019-08-03 13:31:45.090549078,2019-08-03 13:31:45.090549078,49.181239,14.732129999999998,0,0,8843,127,6.875282218513888
2019-08-03 13:31:45.156761990,2019-08-03 13:31:45.156761990,49.179285,14.728719,0,0,6562,85,6.687454570878761
2019-08-03 13:31:45.197732126,2019-08-03 13:31:45.197732126,49.182474,14.672839999999999,0,0,13130,88,2.7714431988755868
2019-08-03 13:31:45.497044976,2019-08-03 13:31:45.497044976,49.12307,14.626464000000002,0,0,9482,68,8.051125596368028
2019-08-03 13:31:45.497053333,2019-08-03 13:31:45.497053333,49.124139,14.643017,0,0,4411,63,7.876875908784852
2019-08-03 13:31:45.526903353,2019-08-03 13:31:45.526903353,49.104054999999995,14.624128,0,0,3429,116,10.169604690962206
2019-08-03 13:33:08.640188656,2019-08-03 13:33:08.640188656,49.17638,14.724720999999999,0,0,10275,218,6.503118027332002
2019-08-03 13:34:31.799761695,2019-08-03 13:34:31.799761695,49.198583,14.661439999999999,0,0,7276,165,1.6188433562775022
2019-08-03 13:34:31.874941749,2019-08-03 13:34:31.874941749,49.182727,14.720545999999999,0,0,6227,58,6.018211582338096
2019-08-03 13:34:31.936773084,2019-08-03 13:34:31.936773084,49.186564000000004,14.673449,0,0,10173,77,2.6146815855754935
2019-08-03 13:35:38.575953874,2019-08-03 13:35:38.575953874,49.178851,14.724637,0,0,7743,80,6.415063744137388
2019-08-03 13:36:23.583775345,2019-08-03 13:36:23.583775345,49.198834000000005,14.529201,0,0,6822,194,8.045134778190123
2019-08-03 13:37:11.461569294,2019-08-03 13:37:11.461569294,49.182364,14.724585999999999,0,0,2912,115,6.313220471044263
2019-08-03 13:37:11.461569718,2019-08-03 13:37:11.461569718,49.171811,14.719417000000002,0,0,7319,101,6.328474826539943
2019-08-03 13:37:11.461575772,2019-08-03 13:37:11.461575772,49.210533,14.724254,0,0,4553,134,6.368108507151835
2019-08-03 13:37:11.856968872,2019-08-03 13:37:11.856968872,49.181063,14.749967000000002,0,0,13608,139,8.14715397616681
2019-08-03 13:38:13.105009245,2019-08-03 13:38:13.105009245,49.169002,14.679116,0,0,5999,78,4.059831189000358
2019-08-03 13:38:13.109570389,2019-08-03 13:38:13.109570389,49.170026,14.688868,0,0,13955,70,4.514615226516884
2019-08-03 13:39:07.849275862,2019-08-03 13:39:07.849275862,49.137427,14.778316,0,0,11053,72,11.923378434925207
2019-08-03 13:39:07.849276346,2019-08-03 13:39:07.849276346,49.143859,14.778822,0,0,13627,87,11.587124756188551
2019-08-03 13:39:07.870717428,2019-08-03 13:39:07.870717428,49.122803999999995,14.762715,0,0,2499,176,12.003872991352333
2019-08-03 13:39:07.878768176,2019-08-03 13:39:07.878768176,49.139756,14.774602,0,0,5510,108,11.55682911959226
2019-08-03 13:39:07.977130421,2019-08-03 13:39:07.977130421,49.146592,14.688088,0,0,6931,118,6.42009466800821
2019-08-03 13:40:24.468447277,2019-08-03 13:40:24.468447277,49.141314,14.676944,0,0,7448,112,6.545991188862064
2019-08-03 13:41:17.392653480,2019-08-03 13:41:17.392653480,49.134353999999995,14.769596,0,0,14026,77,11.589157148988829
2019-08-03 13:41:17.392654669,2019-08-03 13:41:17.392654669,49.122015999999995,14.805804,0,0,4093,81,14.534046954432192
2019-08-03 13:41:17.392667413,2019-08-03 13:41:17.392667413,49.139666,14.774033,0,0,7331,87,11.527158682542536
2019-08-03 13:41:17.404106101,2019-08-03 13:41:17.404106101,49.130078000000005,14.776566,0,0,5605,75,12.278185142869322
2019-08-03 13:41:17.487371825,2019-08-03 13:41:17.487371825,49.100082,14.724045000000002,0,0,4312,133,12.194388061300012
2019-08-03 13:43:18.488879187,2019-08-03 13:43:18.488879187,49.126607,14.691635,0,0,12432,138,8.480436306027286
2019-08-03 13:44:31.462166674,2019-08-03 13:44:31.462166674,49.135877,14.735969,0,0,5366,130,9.588924137238408
2019-08-03 13:47:27.076371844,2019-08-03 13:47:27.076371844,49.152412,14.772607999999998,0,0,6306,85,10.74397506023833
2019-08-03 13:49:15.894889357,2019-08-03 13:49:15.894889357,49.116847,14.7634,0,0,12433,89,12.492112203621916
2019-08-03 13:49:16.087061749,2019-08-03 13:49:16.087061749,49.15399,14.790322,0,0,6828,114,11.844149416002027
2019-08-03 13:49:16.168665633,2019-08-03 13:49:16.168665633,49.123646,14.825917,0,0,9561,107,15.675557619254283
2019-08-03 13:52:56.608791767,2019-08-03 13:52:56.608791767,49.077133,14.737471,0,0,7463,117,14.897076895742927
